latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
15.51939,78.75846,317.26,1.4,1.17,2026-04-05,404,Terra,MODIS,35,6.1NRT,296.87,10.91,D
15.52677,78.76566,316.2,1.4,1.17,2026-04-05,404,Terra,MODIS,28,6.1NRT,295.58,10.52,D
15.63387,77.22512,321.48,1.14,1.06,2026-04-05,404,Terra,MODIS,66,6.1NRT,298.69,9.64,D
15.73575,78.94414,316.71,1.43,1.18,2026-04-05,404,Terra,MODIS,45,6.1NRT,299.57,9.38,D
15.75477,77.6432,318.97,1.19,1.08,2026-04-05,404,Terra,MODIS,60,6.1NRT,299.98,7.53,D
16.0376,75.57312,318.78,1.01,1,2026-04-05,404,Terra,MODIS,58,6.1NRT,304.82,5.76,D
16.18807,75.29587,315.45,1,1,2026-04-05,404,Terra,MODIS,50,6.1NRT,302.64,4.68,D
16.22186,77.73929,317.08,1.19,1.08,2026-04-05,404,Terra,MODIS,42,6.1NRT,296.11,8.06,D
16.24023,75.26385,318.33,1,1,2026-04-05,404,Terra,MODIS,62,6.1NRT,303.05,6.62,D
16.62934,77.12219,320.19,1.1,1.05,2026-04-05,404,Terra,MODIS,46,6.1NRT,300.4,8.91,D
16.63086,77.11223,324.21,1.1,1.04,2026-04-05,404,Terra,MODIS,72,6.1NRT,301.2,13.64,D
16.71475,78.20584,319.36,1.24,1.11,2026-04-05,404,Terra,MODIS,59,6.1NRT,302.01,9.11,D
16.97658,76.40971,321.08,1.03,1.02,2026-04-05,404,Terra,MODIS,51,6.1NRT,302.39,10.18,D
17.19583,77.23045,319.2,1.1,1.04,2026-04-05,404,Terra,MODIS,17,6.1NRT,302.18,7.99,D
17.80973,73.8566,319.64,1.07,1.03,2026-04-05,404,Terra,MODIS,64,6.1NRT,307.22,8.49,D
17.90126,73.72549,314.24,1.08,1.04,2026-04-05,404,Terra,MODIS,33,6.1NRT,302.8,7.45,D
18.07477,73.8736,320.49,1.07,1.03,2026-04-05,404,Terra,MODIS,57,6.1NRT,306.86,9.3,D
18.25756,78.9239,311.14,1.3,1.13,2026-04-05,404,Terra,MODIS,34,6.1NRT,294.83,7.57,D
18.80609,79.16278,313.52,1.32,1.14,2026-04-05,404,Terra,MODIS,47,6.1NRT,297.21,7.37,D
18.94267,80.41273,314.01,1.59,1.24,2026-04-05,404,Terra,MODIS,56,6.1NRT,296.61,8.97,D
18.94501,80.41924,314.59,1.59,1.24,2026-04-05,404,Terra,MODIS,58,6.1NRT,296.33,9.56,D
19.08329,76.59951,316.23,1.02,1.01,2026-04-05,404,Terra,MODIS,51,6.1NRT,302.83,4.53,D
19.16414,78.91589,320.93,1.26,1.12,2026-04-05,404,Terra,MODIS,65,6.1NRT,300.34,11.53,D
19.17387,78.91756,318.41,1.26,1.12,2026-04-05,404,Terra,MODIS,52,6.1NRT,300.11,7.98,D
19.17569,78.90607,317.84,1.26,1.11,2026-04-05,404,Terra,MODIS,60,6.1NRT,300.28,7.7,D
19.27865,76.40456,317.89,1.01,1,2026-04-05,404,Terra,MODIS,60,6.1NRT,303.65,5.54,D
19.57831,77.73967,317.78,1.09,1.04,2026-04-05,404,Terra,MODIS,57,6.1NRT,302.15,6.28,D
19.67068,75.07599,315.43,1.02,1.01,2026-04-05,404,Terra,MODIS,52,6.1NRT,301.4,5.89,D
19.74174,75.30962,317.22,1.01,1,2026-04-05,404,Terra,MODIS,57,6.1NRT,303.98,6.36,D
19.85312,75.49431,319.36,1,1,2026-04-05,404,Terra,MODIS,63,6.1NRT,304.32,6.84,D
19.88862,76.28829,317.11,1,1,2026-04-05,404,Terra,MODIS,53,6.1NRT,303.59,5.75,D
20.01238,74.47084,314.66,1.06,1.03,2026-04-05,404,Terra,MODIS,48,6.1NRT,302.31,5.37,D
20.12899,74.7683,320.8,1.04,1.02,2026-04-05,404,Terra,MODIS,67,6.1NRT,303.25,9.86,D
20.34712,76.37354,318.7,1,1,2026-04-05,404,Terra,MODIS,60,6.1NRT,301.63,7.74,D
20.36152,78.24312,326.67,1.12,1.06,2026-04-05,404,Terra,MODIS,76,6.1NRT,303.61,15.79,D
20.43581,75.28648,334.85,1.02,1.01,2026-04-05,404,Terra,MODIS,85,6.1NRT,305.03,25.82,D
20.47222,76.20947,317.11,1,1,2026-04-05,404,Terra,MODIS,50,6.1NRT,303.48,4.76,D
20.66319,78.68052,327.64,1.17,1.08,2026-04-05,404,Terra,MODIS,76,6.1NRT,303.3,18.35,D
20.76431,76.68166,319.13,1.01,1,2026-04-05,404,Terra,MODIS,57,6.1NRT,303.67,5.52,D
20.76886,73.55176,318.33,1.17,1.08,2026-04-05,404,Terra,MODIS,63,6.1NRT,302.79,10.38,D
20.82675,78.22738,317.78,1.11,1.05,2026-04-05,404,Terra,MODIS,48,6.1NRT,300.95,7.89,D
20.82964,76.98774,318.88,1.02,1.01,2026-04-05,404,Terra,MODIS,51,6.1NRT,303.62,4.81,D
20.96272,85.18195,314.49,3.3,1.72,2026-04-05,404,Terra,MODIS,63,6.1NRT,287.08,41.47,D
20.96376,85.17693,315.16,3.3,1.72,2026-04-05,404,Terra,MODIS,64,6.1NRT,287.66,41.36,D
21.10747,72.64419,328.25,1.33,1.14,2026-04-05,404,Terra,MODIS,0,6.1NRT,296.55,30.55,D
21.10855,75.02229,325.82,1.04,1.02,2026-04-05,404,Terra,MODIS,74,6.1NRT,301.96,14.48,D
21.10986,75.01261,339.4,1.04,1.02,2026-04-05,404,Terra,MODIS,88,6.1NRT,301.19,34.15,D
21.43982,74.27002,318.97,1.1,1.05,2026-04-05,404,Terra,MODIS,55,6.1NRT,302.55,7.91,D
21.46893,74.3223,320.58,1.1,1.05,2026-04-05,404,Terra,MODIS,65,6.1NRT,302.87,9.16,D
21.47701,74.26027,326.37,1.11,1.05,2026-04-05,404,Terra,MODIS,75,6.1NRT,303.09,16.4,D
21.69488,70.69939,321.5,1.85,1.33,2026-04-05,404,Terra,MODIS,72,6.1NRT,302.01,21.23,D
21.70457,70.68906,325.69,1.85,1.33,2026-04-05,404,Terra,MODIS,78,6.1NRT,301.81,33.1,D
21.7295,76.45937,334.64,1,1,2026-04-05,404,Terra,MODIS,84,6.1NRT,307.47,21.45,D
21.74258,83.84792,319.83,2.52,1.53,2026-04-05,404,Terra,MODIS,73,6.1NRT,293.72,37.77,D
21.76449,76.5896,321.52,1,1,2026-04-05,404,Terra,MODIS,66,6.1NRT,307.61,6,D
21.78079,75.56674,320.61,1.02,1.01,2026-04-05,404,Terra,MODIS,57,6.1NRT,304.65,7.47,D
21.83304,84.38899,313.35,2.75,1.59,2026-04-05,404,Terra,MODIS,65,6.1NRT,290.4,27.14,D
21.85113,76.50461,341.87,1,1,2026-04-05,404,Terra,MODIS,89,6.1NRT,305.71,34.36,D
21.85988,76.50602,320.12,1,1,2026-04-05,404,Terra,MODIS,55,6.1NRT,305.86,5.09,D
21.97676,76.47975,321.52,1,1,2026-04-05,404,Terra,MODIS,55,6.1NRT,305.53,7.29,D
22.02723,76.43991,316.58,1,1,2026-04-05,404,Terra,MODIS,19,6.1NRT,302.9,4.34,D
22.07565,76.99261,321.07,1.01,1,2026-04-05,404,Terra,MODIS,68,6.1NRT,305.38,8.27,D
22.07658,76.09238,320.85,1,1,2026-04-05,404,Terra,MODIS,61,6.1NRT,306.23,6.23,D
22.12043,76.18233,323.75,1,1,2026-04-05,404,Terra,MODIS,69,6.1NRT,305.95,9.3,D
22.1367,76.96091,319.94,1.01,1,2026-04-05,404,Terra,MODIS,66,6.1NRT,303.88,8.09,D
22.14082,76.29131,326.16,1,1,2026-04-05,404,Terra,MODIS,73,6.1NRT,304.99,12.38,D
22.14725,76.11921,341.46,1,1,2026-04-05,404,Terra,MODIS,89,6.1NRT,306.29,33.64,D
22.17318,76.31569,321.1,1,1,2026-04-05,404,Terra,MODIS,63,6.1NRT,304.4,7.04,D
22.18571,76.74711,319.58,1,1,2026-04-05,404,Terra,MODIS,63,6.1NRT,305.84,5.51,D
22.24198,75.90885,322.84,1.01,1,2026-04-05,404,Terra,MODIS,68,6.1NRT,306.77,7.87,D
22.25561,75.94003,320.39,1.01,1,2026-04-05,404,Terra,MODIS,62,6.1NRT,306.29,5.99,D
22.27982,77.12302,318.26,1.01,1,2026-04-05,404,Terra,MODIS,62,6.1NRT,302.94,6.82,D
22.29649,77.00943,339.91,1.01,1,2026-04-05,404,Terra,MODIS,89,6.1NRT,304.69,32.06,D
22.29787,76.99998,343.15,1.01,1,2026-04-05,404,Terra,MODIS,91,6.1NRT,303.95,37.88,D
22.30664,77.00143,319.94,1.01,1,2026-04-05,404,Terra,MODIS,66,6.1NRT,305.35,7.44,D
22.43116,76.71896,324.58,1,1,2026-04-05,404,Terra,MODIS,73,6.1NRT,306.71,9.79,D
22.54277,77.58746,320.79,1.03,1.01,2026-04-05,404,Terra,MODIS,67,6.1NRT,305.55,8.43,D
22.54419,75.57858,317.3,1.02,1.01,2026-04-05,404,Terra,MODIS,46,6.1NRT,304.22,5.42,D
22.57234,76.69067,322.99,1,1,2026-04-05,404,Terra,MODIS,69,6.1NRT,305.41,9.08,D
22.5737,76.68126,344,1,1,2026-04-05,404,Terra,MODIS,91,6.1NRT,306.42,38.58,D
22.57441,76.61391,319.74,1,1,2026-04-05,404,Terra,MODIS,61,6.1NRT,305.99,5.31,D
22.57869,77.5407,323.4,1.02,1.01,2026-04-05,404,Terra,MODIS,72,6.1NRT,305.44,8.86,D
22.58032,77.59042,320.12,1.03,1.01,2026-04-05,404,Terra,MODIS,67,6.1NRT,304.99,6.64,D
22.58414,76.0204,319.2,1.01,1,2026-04-05,404,Terra,MODIS,59,6.1NRT,305.36,7.25,D
22.59124,76.55885,317.77,1,1,2026-04-05,404,Terra,MODIS,52,6.1NRT,303.91,5.01,D
22.60185,77.93981,322.18,1.05,1.02,2026-04-05,404,Terra,MODIS,54,6.1NRT,305.08,9.26,D
22.60462,76.6731,324.62,1,1,2026-04-05,404,Terra,MODIS,72,6.1NRT,306.44,9.99,D
22.60494,75.54472,329.2,1.03,1.01,2026-04-05,404,Terra,MODIS,78,6.1NRT,306.44,17.29,D
22.61584,75.39774,325.56,1.03,1.02,2026-04-05,404,Terra,MODIS,73,6.1NRT,306.65,12.83,D
22.62716,77.89378,322.89,1.04,1.02,2026-04-05,404,Terra,MODIS,72,6.1NRT,306.54,8.39,D
22.63099,75.41996,320.5,1.03,1.02,2026-04-05,404,Terra,MODIS,44,6.1NRT,306.08,6.45,D
22.64372,77.10164,324.18,1.01,1,2026-04-05,404,Terra,MODIS,72,6.1NRT,304.19,11.85,D
22.65292,77.16148,322.48,1.01,1,2026-04-05,404,Terra,MODIS,70,6.1NRT,303.78,10.58,D
22.66436,78.01139,323.57,1.05,1.02,2026-04-05,404,Terra,MODIS,62,6.1NRT,304.52,10.85,D
22.66524,75.43513,326.26,1.03,1.02,2026-04-05,404,Terra,MODIS,74,6.1NRT,306.52,13.09,D
22.66806,75.49167,318.42,1.03,1.01,2026-04-05,404,Terra,MODIS,47,6.1NRT,305.11,5.17,D
22.68033,75.25761,321.05,1.04,1.02,2026-04-05,404,Terra,MODIS,63,6.1NRT,306.41,8.14,D
22.68473,77.32877,324.03,1.01,1.01,2026-04-05,404,Terra,MODIS,72,6.1NRT,304.07,12.4,D
22.6862,77.11842,316.43,1.01,1,2026-04-05,404,Terra,MODIS,50,6.1NRT,302.86,4.97,D
22.69565,75.55531,322.5,1.03,1.01,2026-04-05,404,Terra,MODIS,68,6.1NRT,306.33,9.41,D
22.69665,75.34679,331.64,1.04,1.02,2026-04-05,404,Terra,MODIS,81,6.1NRT,306.46,21.17,D
22.69766,75.40679,317.69,1.03,1.02,2026-04-05,404,Terra,MODIS,51,6.1NRT,304.59,5.87,D
22.70145,75.64503,327.39,1.02,1.01,2026-04-05,404,Terra,MODIS,76,6.1NRT,305.47,15.48,D
22.70358,75.49712,320.67,1.03,1.01,2026-04-05,404,Terra,MODIS,63,6.1NRT,304.51,8.4,D
22.70588,77.98444,324.45,1.05,1.02,2026-04-05,404,Terra,MODIS,74,6.1NRT,307.08,8.7,D
22.71006,75.17797,319.49,1.05,1.02,2026-04-05,404,Terra,MODIS,59,6.1NRT,304.09,5.99,D
22.71137,75.16806,323.14,1.05,1.02,2026-04-05,404,Terra,MODIS,69,6.1NRT,306.25,10.04,D
22.72481,75.75294,318.11,1.02,1.01,2026-04-05,404,Terra,MODIS,52,6.1NRT,303.36,7.39,D
22.73163,76.68091,322.54,1,1,2026-04-05,404,Terra,MODIS,57,6.1NRT,306.29,8.08,D
22.73933,76.03805,321.97,1.01,1,2026-04-05,404,Terra,MODIS,66,6.1NRT,301.45,10.89,D
22.74413,76.06792,322.94,1.01,1,2026-04-05,404,Terra,MODIS,68,6.1NRT,302.98,11.36,D
22.75048,76.67434,322.87,1,1,2026-04-05,404,Terra,MODIS,68,6.1NRT,307.3,7.71,D
22.75291,76.06931,335.01,1.01,1,2026-04-05,404,Terra,MODIS,84,6.1NRT,303.85,25.69,D
22.76231,77.85313,325.3,1.04,1.02,2026-04-05,404,Terra,MODIS,74,6.1NRT,305.27,11.12,D
22.78886,77.79762,325.45,1.04,1.02,2026-04-05,404,Terra,MODIS,63,6.1NRT,303.59,12.48,D
22.79969,77.97639,319.56,1.05,1.02,2026-04-05,404,Terra,MODIS,64,6.1NRT,302.54,7.44,D
